World Rank,Institution,Country,Nat. Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score
1,Harvard University,U.S.,1,100,100,100,100,100,72.5,100
2,Stanford University,U.S.,2,40,80.7,88.9,68.7,69.4,50.4,72.6
3,"University of California, Berkeley",U.S.,3,67.8,79,69.7,68.5,68.1,54.7,71.3
4,Massachusetts Institute of Technology (MIT),U.S.,4,68,81.3,68.2,69.7,60.1,65,71.1
5,University of Cambridge,U.K.,1,79.1,97.3,54.6,54,66.2,53.3,69.6
6,California Institute of Technology,U.S.,5,47.8,67.2,57.4,62,45.2,100,62.9
7,Princeton University,U.S.,6,52.9,89.2,62.2,45.8,44,66.9,61.9
8,Columbia University,U.S.,7,66.1,66.4,57.4,49.8,68,31.9,59.8
9,University of Chicago,U.S.,8,60.9,83.4,52.2,41.9,49.8,39.5,57.1
10,University of Oxford,U.K.,2,51.8,55.3,48.9,51.3,69.9,41.2,55.9
11,Yale University,U.S.,9,47.5,44.5,59.7,60.7,62.4,36.3,55.4
12,"University of California, Los Angeles",U.S.,10,27.3,47.4,57.7,51.7,71.2,31.1,52.9
13,Cornell University,U.S.,11,38.2,50.2,54.9,45,55.2,37.6,50
14,"University of California, San Diego",U.S.,12,20,35.8,60.3,55.5,63.4,35.5,49.9
15,University of Pennsylvania,U.S.,13,33,34.1,57.9,47.4,66.7,37.7,49.6
16,University of Washington,U.S.,14,22,31.8,55.1,52.3,70.8,27.9,48.3
17,The Johns Hopkins University,U.S.,15,39.3,33.9,42.2,49.7,68.8,27.4,46.9
18,"University of California, San Francisco",U.S.,16,0,40.2,53.7,54.1,59.3,34.1,46.2
19,University of Wisconsin - Madison,U.S.,17,32.1,35,52.1,39.3,63.3,25.1,44.9
20,Swiss Federal Institute of Technology Zurich,Switzerland,1,30.7,35.8,36.7,46.6,54.7,44.4,43.5
21,The University of Tokyo,Japan,1,32.1,14.2,42.5,50,72.2,27.8,43
21,University College London,U.K.,3,29.3,29.7,39.6,42.1,67.5,31.3,43
23,University of Michigan - Ann Arbor,U.S.,18,33.4,0,60.5,42,75.7,24.7,42.6
24,"The Imperial College of Science, Technology and Medicine",U.K.,4,15.1,36.1,41.6,39,60.4,35.7,41.6
25,University of Illinois at Urbana-Champaign,U.S.,19,31.2,36.5,43.3,35.9,54.2,28.4,41.1
26,Kyoto University,Japan,2,30.7,37.5,38.9,35.1,60.2,23.2,40.8
27,New York University,U.S.,20,29.3,32.2,42.2,40.8,55.5,22.8,40.5
28,University of Toronto,Canada,1,20.7,17.3,39,38.2,77.6,27.4,40.3
29,"University of Minnesota, Twin Cities",U.S.,21,27.3,16.4,51.1,34.7,64.3,25.5,39.7
30,Northwestern University,U.S.,22,16,22.2,48.5,39.1,57.5,27.1,38.9
31,Duke University,U.S.,23,16,15,46.5,42.8,61.6,22.5,38.1
32,Washington University in St. Louis,U.S.,24,19.3,25.1,39,44.2,52.1,24.9,37.5
33,University of Colorado at Boulder,U.S.,25,13.1,34.3,39.6,39.2,45,33.6,37.3
34,Rockefeller University,U.S.,26,17.7,60.2,28.9,43.1,20.4,38.1,37.1
35,"University of California, Santa Barbara",U.S.,27,15.1,35.4,42.7,30.9,39.3,37.2,35.9
36,The University of Texas at Austin,U.S.,28,16.9,16.4,45.7,34.9,54.2,25.5,35.4
37,Pierre and Marie  Curie University - Paris 6,France,1,35.1,27.6,25.1,30.8,59.1,22.8,35.3
38,"University of Maryland, College Park",U.S.,29,20,20.1,41.5,31.5,52.6,26.3,34.7
39,University of Paris Sud (Paris 11),France,2,31.6,54.7,16.2,19.7,48.7,25.7,34.5
40,University of British Columbia,Canada,2,16,19,32.4,31.9,63.6,22.9,34.2
41,The University of Manchester,U.K.,5,19.3,32.8,27.7,26,57,24.4,34
42,University of Copenhagen,Denmark,1,22.7,19,25.9,30.3,60.2,35,33.8
43,University of North Carolina at Chapel Hill,U.S.,30,9.3,16.4,39.6,32.8,58.6,23.5,33.7
44,Karolinska Institute,Sweden,1,23.3,26.8,32.4,20.9,49.2,35.9,32.7
45,"University of California, Irvine",U.S.,31,0,29.5,36.9,30.7,46.8,27.1,32.4
46,The University of Texas Southwestern Medical Center at Dallas,U.S.,32,19.3,34.7,30.6,32.9,34.6,20.6,31.4
47,"University of California, Davis",U.S.,33,0,0,47.3,33.6,58.6,25.8,31.3
47,University of Southern California,U.S.,33,0,26.8,39.6,25.1,51.3,19.1,31.3
49,Vanderbilt University,U.S.,35,16,29.2,32.4,21,50.9,18.4,31
50,Technical University Munich,Germany,1,36.3,21.7,24.6,22.4,46.7,30.4,30.6
51,The University of Edinburgh,U.K.,6,21.4,13.4,27.1,33.6,50.9,25.3,30.5
52,Carnegie Mellon University,U.S.,36,33,31.8,30.7,18.1,34,33.6,30.4
52,Utrecht University,Netherlands,1,23.9,20.1,29.9,25.9,47.1,25.1,30.4
54,Pennsylvania State University - University Park,U.S.,37,10.7,0,47.1,31.4,52,21.8,30.2
54,University of Heidelberg,Germany,2,14.1,25.5,19.1,28.5,51.1,30.9,30.2
54,University of Melbourne,Australia,1,17.7,13.4,24,24.4,62.5,27.1,30.2
57,Purdue University - West Lafayette,U.S.,38,14.1,23.2,28.9,26.7,49.6,21.7,30.1
58,McGill University,Canada,3,31.6,0,31.5,26.1,58.8,25.9,29.9
59,The Hebrew University of Jerusalem,Israel,1,33.4,28.4,25.1,21.5,38.7,28.8,29.8
60,University of Zurich,Switzerland,2,5.3,24.2,25.9,28.1,50.9,25.3,29.7
61,"Rutgers, The State University of New Jersey - New Brunswick",U.S.,39,10.7,19,38.9,26.2,43,22.1,29.5
61,University of Munich,Germany,3,26.7,19.3,16.2,28.1,51.2,30.4,29.5
61,University of Pittsburgh,U.S.,39,19.3,0,42.2,21.8,60.8,18,29.5
64,University of Bristol,U.K.,7,7.6,16.4,28.9,32.8,45.7,28.8,29.2
65,The Ohio State University - Columbus,U.S.,41,13.1,0,40.5,25.9,58.9,18,29
66,The Australian National University,Australia,2,14.1,19.4,32.3,24,43,29.3,28.9
