Rank 2013-14,Institution,Country,Teaching,Research,Citations,Ind. Income,Int. Outlook,Overall Score
1,California Institute of Technology ,US,94.4,98.2,99.8,91.2,65.8,94.9
2,Harvard University,US,95.3,98.5,99.1,40.6,66.2,93.9
2,University of Oxford,UK,89,98.5,95.4,90.3,90.2,93.9
4,Stanford University,US,94.7,96.8,99.1,61.3,68,93.8
5,Massachusetts Institute of Technology,US,92.9,89,100,94.3,82,93
6,Princeton University,US,89.9,97.6,99.7,80.5,59.6,92.7
7,University of Cambridge,UK,90.6,95.3,95.7,52.8,86.7,92.3
8,"University of California, Berkeley",US,83.2,97.5,99.3,59.5,57.3,89.8
9,University of Chicago,US,85.6,88.2,98,0,58.6,87.8
10,Imperial College London,UK,84.5,88.1,90,72.3,91.8,87.5
11,Yale University,US,89.5,90.5,93.5,38.7,57.6,87.4
12,"University of California, LosAngeles",US,84.8,91,95.6,0,46.4,86.3
13,Columbia University,US,86.6,79.1,95.6,0,68,85.2
14,ETH Zürich (Swiss Federal Institute of Technology) ,Switzerland,77.6,88.2,85,78.8,96.7,84.5
15,Johns Hopkins University,US,75.7,85.1,95,100,59.3,83.7
16,University of Pennsylvania,US,79.8,81.2,95,45.2,40.6,81
17,Duke University,US,73.9,73,96.7,100,50,79.3
18,University of Michigan,US,70,86.2,90.8,53.5,49.5,79.2
19,Cornell University,US,72.1,83.8,90.8,35.8,55.6,79.1
20,University of Toronto,Canada,73.6,81.5,84.5,45.8,70,78.3
21,University College London,UK,70.5,77.5,84.1,46.8,90.2,77.6
22,Northwestern University,US,70.2,76,97.1,61.9,34.4,77.1
23,University of Tokyo,Japan,84.7,88,69.8,56.7,29.6,76.4
24,Carnegie Mellon University,US,63.1,77.4,93.9,52.5,58.1,76
25,University of Washington,US,65.6,69.2,95.6,43.1,43.2,73.4
26,National University of Singapore,Singapore,68,77.8,66.4,64.3,94.3,72.4
27,University of Texas at Austin,US,64.7,69,91.3,59.6,42.4,72.2
28,Georgia Institute of Technology,US,59.4,68.6,87.9,71.3,67.8,71.6
29,University of Illinois at Urbana-Champaign,US,66,78.9,79.4,0,41.1,71.4
30,University of Wisconsin-Madison,US,69.8,67.7,87.2,51.2,32.3,71.1
31,University of BritishColumbia,Canada,59.9,67.9,83.7,43.1,84.2,70.8
32,London School of Economics and Political Science,UK,65.2,74.2,69.2,43.6,81.7,69.8
33,"University of California,Santa Barbara",US,47.8,58.2,99.4,86.7,61.8,68.4
34,University of Melbourne,Australia,57.1,64.2,80.2,65.1,81.3,68.2
35,McGill University,Canada,61.5,68.1,74.5,40.8,77.8,68.1
36,Karolinska Institute,Sweden,58.1,67.7,76,68.7,73.2,67.8
37,École Polytechnique Fédérale de Lausanne,Switzerland,52.9,48.3,95.9,49.2,98.2,67.7
38,King’s College London,UK,56.2,56.8,87.6,38.3,86,67.6
39,University of Edinburgh,UK,56.6,56.9,87.6,42.5,81.5,67.5
40,"University of California, SanDiego",US,52,63,96.7,48.4,35.6,67.4
40,New York University,US,65.4,58.4,87.9,29.9,41.8,67.4
42,Washington University in St. Louis,US,59.5,52.9,96.4,0,44.6,67.2
43,University of Hong Kong,HongKong,61.6,69.9,61.5,56.9,80.3,65.3
44,Seoul Nationa lUniversity,SouthKorea,76.4,79.2,47.3,86,29.4,65.2
45,Peking University,China,72.3,58.1,62.8,99.9,60.6,65
46,University of Minnesota,US,61.4,62.7,81.2,0,31.7,64.9
47,University of North Carolina at Chapel Hill,US,57.6,55.3,90.2,39.1,35,64.5
48,Australian National University,Australia,51.8,65.1,71.2,44.8,91.4,64.4
49,Pennsylvania State University,US,55.3,65.9,79.4,60,33.7,64.2
50,Boston University,US,56.5,46.1,95.3,31.1,44.2,63.5
50,Tsinghua University,China,66.8,65.9,59.9,99.9,42.6,63.5
52,Brown University,US,55.4,52,91.3,33.5,37.7,63.2
52,"University of California, Davis",US,55.5,56.4,81.2,51.3,53.7,63.2
52,Kyoto University,Japan,69.5,69.5,58.2,78.7,27.5,63.2
55,Ludwig-Maximilians-Universität München,Germany,55.4,54.1,83.3,41.4,56.3,63.1
56,Korea Advanced Institute of Science and Technology,SouthKorea,65.6,60,67,100,34.3,62.9
57,Hong Kong University of Science and Technology,HongKong,52.4,59.7,72.3,58.5,77,62.5
58,University of Manchester,UK,54.5,52.2,77.3,40.8,80.9,62.3
