Rank 2014-15,Institution,Country,Teaching,Research,Citations,Ind. Income,Int. Outlook,Overall Score
1,CaliforniaInstituteofTechnology,US,92.2,98.1,99.7,89.1,67,94.3
2,HarvardUniversity,US,92.9,98.6,98.9,44,67.6,93.3
3,UniversityofOxford,UK,88.6,97.7,95.5,72.9,90.7,93.2
4,StanfordUniversity,US,91.5,96.7,99.1,63.1,69,92.9
5,UniversityofCambridge,UK,89.7,95.6,95.2,51.1,87.8,92
6,MassachusettsInstituteofTechnology,US,89.1,88.2,100,95.7,84.3,91.9
7,PrincetonUniversity,US,86.6,94.7,99.6,82.7,61.2,90.9
8,"UniversityofCalifornia,Berkeley",US,84.2,96.7,99.1,44.8,58.5,89.5
9,ImperialCollegeLondon,UK,84.6,88.3,89.4,72.7,92.7,87.5
9,YaleUniversity,US,88.5,90.8,94,42,59.8,87.5
11,UniversityofChicago,US,83.9,89.9,97.3,36.8,65.2,87.1
12,"UniversityofCalifornia,LosAngeles",US,82.4,90.5,95.3,0,49.2,85.5
13,ETHZürich-SwissFederalInstituteofTechnologyZurich,Switzerland,78.2,90.2,83.5,73.2,96.6,84.6
14,ColumbiaUniversity,US,83.9,79.4,95.3,0,68.3,84.4
15,JohnsHopkinsUniversity,US,75.6,84.2,93.6,100,59.7,83
16,UniversityofPennsylvania,US,79,82,94.4,43,43.8,81
17,UniversityofMichigan,US,77,86.5,88.9,55.7,49.8,80.9
18,DukeUniversity,US,73.5,75.2,96.6,100,50.5,79.9
19,CornellUniversity,US,71.6,83.8,91.5,33.7,59,79.4
20,UniversityofToronto,Canada,74.4,85.1,83,46.1,71.2,79.3
21,NorthwesternUniversity,US,72.7,78.9,96.9,77,36.7,79.2
22,UniversityCollegeLondon,UK,70.4,80.4,85.1,46.2,90.6,78.7
23,UniversityofTokyo,Japan,81.4,85.1,74.7,51.2,32.4,76.1
24,CarnegieMellonUniversity,US,61.6,74.9,92,53,59.3,74.3
25,NationalUniversityofSingapore,Singapore,72,78.1,66,53.4,94.9,73.3
26,UniversityofWashington,US,64.5,68.9,95,44.7,47.9,73.2
27,GeorgiaInstituteofTechnology,US,62.5,71.2,85.8,72.3,68.9,72.8
28,UniversityofTexasatAustin,US,64.3,72,91.5,58.1,33.1,72.3
29,UniversityofIllinoisatUrbana-Champaign,US,67.7,79,77.8,51.7,43.9,71.9
29,Ludwig-Maximilians-UniversitätMünchen,Germany,65.1,69.1,83,100,56.4,71.9
29,UniversityofWisconsin-Madison,US,67.7,71.3,87.7,53.3,33.6,71.9
32,UniversityofBritishColumbia,Canada,60.5,69,85.3,40.1,84.8,71.8
33,UniversityofMelbourne,Australia,60.4,70.9,80.6,61.2,81.3,71.2
34,ÉcolePolytechniqueFédéraledeLausanne,Switzerland,54.7,56.9,95,61.9,98.8,70.9
34,LondonSchoolofEconomicsandPoliticalScience,UK,65.4,74.2,71.3,40.6,87.4,70.9
36,UniversityofEdinburgh,UK,58.9,62.9,88.3,41.2,84.3,70.4
37,"UniversityofCalifornia,SantaBarbara",US,49.4,61.4,99.2,87.1,64.3,70
38,NewYorkUniversity,US,68.3,62.4,89.5,30.2,41.2,69.9
39,McGillUniversity,Canada,63.3,69.9,76,38.6,79,69.6
40,King’sCollegeLondon,UK,55.6,62.3,88.3,39,87,69.4
41,"UniversityofCalifornia,SanDiego",US,52,66.6,96.4,54.2,37,68.6
42,WashingtonUniversityinStLouis,US,57.6,55.2,97.1,0,46.5,67.8
43,UniversityofHongKong,HongKong,62.1,72.6,65.1,56,81.9,67.5
44,KarolinskaInstitute,Sweden,57.1,68,76.8,65.5,60.6,66.8
45,AustralianNationalUniversity,Australia,53.7,70.9,71.1,38.9,91.3,66.5
46,UniversityofMinnesota,US,59.9,64.7,82.9,0,33.8,65.9
46,UniversityofNorthCarolinaatChapelHill,US,57.9,58.6,91,40.5,35.3,65.9
48,PekingUniversity,China,70,61.9,63.7,100,53.7,65.2
49,TsinghuaUniversity,China,64.1,68.3,65,99.7,44.6,65.1
50,SeoulNationalUniversity,SouthKorea,75.5,77.1,48.7,86.3,30.3,64.8
51,HongKongUniversityofScienceandTechnology,HongKong,51.8,66.8,72.9,57.6,77.8,64.7
52,KoreaAdvancedInstituteofScienceandTechnology,SouthKorea,63.5,63.2,71.4,100,34.9,64.5
52,UniversityofManchester,UK,58.1,58.7,74.3,39.4,82,64.5
54,BrownUniversity,US,55.5,54.2,92,32.7,37,64.1
55,"UniversityofCalifornia,Davis",US,54.4,59.7,80.4,55.4,52.9,63.7
55,KatholiekeUniversiteitLeuven,Belgium,53,63.6,71.8,99.9,62.3,63.7
57,BostonUniversity,US,56.4,46.7,94.4,30.3,47.8,63.6
58,PennsylvaniaStateUniversity,US,54.6,64.8,76,60.4,37.4,62.9
59,KyotoUniversity,Japan,70.4,68.4,57,73.3,29,62.8
60,UniversityofSydney,Australia,52.8,60.8,69,67.3,83.6,62.7
61,ÉcolePolytechnique,France,50.5,47.1,79.9,76.8,94.5,62.2
61,NanyangTechnologicalUniversity,Singapore,43.9,55.9,75.9,100,92.5,62.2
63,ScuolaNormaleSuperiorediPisa,Italy,48.2,46,96.4,40.1,50.1,61.9
64,LeidenUniversity,Netherlands,45,58.2,82.3,47.3,59.5,61.3
65,"UniversityofQueensland,Australia",Australia,45.8,58.4,74.2,66.2,80.4,61.2
66,PohangUniversityofScienceandTechnology,SouthKorea,52.7,49.3,84.4,100,36,61.1
67,Georg-August-UniversitätGöttingen,Germany,46.9,48,92.3,32.8,53.9,61
68,OhioStateUniversity,US,54,51.1,80.4,46.8,51.5,60.7
69,RiceUniversity,US,41.7,37.1,99.9,34.6,70.8,59.8
70,UniversitätHeidelberg,Germany,52.6,45.4,81.4,41.6,63.1,59.6
71,DelftUniversityofTechnology,Netherlands,55.5,71.4,42.6,100,77.9,59.2
72,ErasmusUniversityRotterdam,Netherlands,39.8,53.7,82.3,54.4,66.2,59.1
73,WageningenUniversityandResearchCenter,Netherlands,44.3,46.8,77.5,100,78.7,59
74,UniversityofBristol,UK,43.7,44.7,85.1,42.1,76.6,58.9
75,UniversityofBasel,Switzerland,41.2,41.1,81.4,97.7,91.2,58.4
75,UniversityofSouthernCalifornia,US,55.2,44.6,81.3,34.4,42.7,58.4
77,UniversityofAmsterdam,Netherlands,42,55.4,76.6,56.7,60.5,58.2
78,ÉcoleNormaleSupérieure,France,48.7,36.2,84.8,39.4,81.9,58.1
79,UtrechtUniversity,Netherlands,38.2,54.8,80,84.1,52.9,58
80,Humboldt-UniversitätzuBerlin,Germany,51.9,52.6,71.9,31.9,55.7,57.9
81,FreieUniversitätBerlin,Germany,49.4,58,67.6,33.5,56.6,57.6
82,MichiganStateUniversity,US,51.1,49.4,74,31.7,55,57.3
83,DurhamUniversity,UK,37.2,40.7,88.9,34.8,80.4,56.9
83,MonashUniversity,Australia,43.7,54.4,65.7,73.4,79.6,56.9
85,MiddleEastTechnicalUniversity,Turkey,45.5,36.9,92,55.2,38.7,56.6
86,UniversityofArizona,US,44.9,51.4,74,99.6,38.8,56.5
86,UniversityofNotreDame,US,43.3,38.5,90,0,51.4,56.5
88,"UniversityofCalifornia,Irvine",US,39.5,41.7,89.5,40,56.1,56.4
88,TuftsUniversity,US,43.6,33.9,92.9,58.7,51.1,56.4
